title,year,director,duration,cast,genre,imdb_rating
Deep Cover,1992,Bill Duke,107,"Jeff Goldblum, Laurence Fishburne, Charles Martin Smith",Documentary,7
Deep Cover,1992,Bill Duke,107,"Jeff Goldblum, Laurence Fishburne, Charles Martin Smith",History,7
Deep Cover,1992,Bill Duke,107,"Jeff Goldblum, Laurence Fishburne, Charles Martin Smith",Politics and Government,7
Lessons of Darkness,1992,Werner Herzog,50,Werner Herzog,Crime Thriller,8
Lessons of Darkness,1992,Werner Herzog,50,Werner Herzog,Crime,8
Lessons of Darkness,1992,Werner Herzog,50,Werner Herzog,Mystery,8
Raising Cain,1992,Brian De Palma,91,"Lolita Davidovich, Steven Bauer, Frances Sternhagen",Adventure,6.1
Raising Cain,1992,Brian De Palma,91,"Lolita Davidovich, Steven Bauer, Frances Sternhagen",Based-on-19th-Century-Literature,6.1
Raising Cain,1992,Brian De Palma,91,"Lolita Davidovich, Steven Bauer, Frances Sternhagen",Science Fiction,6.1
The Long Day Closes,1992,Terence Davies,85,"Marjorie Yates, Leigh McCormack, Anthony Watson",Based-on-20th-Century-Literature,7.3
The Long Day Closes,1992,Terence Davies,85,"Marjorie Yates, Leigh McCormack, Anthony Watson",Detective Film,7.3
The Long Day Closes,1992,Terence Davies,85,"Marjorie Yates, Leigh McCormack, Anthony Watson",Femme Fatale,7.3
Hoffa,1992,Danny DeVito,140,"Jack Nicholson, John C. Reilly, Kevin Anderson",Buddy Film,6.6
Hoffa,1992,Danny DeVito,140,"Jack Nicholson, John C. Reilly, Kevin Anderson",Comedy,6.6
Hoffa,1992,Danny DeVito,140,"Jack Nicholson, John C. Reilly, Kevin Anderson",Crime,6.6
Life and Nothing More,1992,Abbas Kiarostami,95,"Farhad Kheradmand, Buba Bayour, Hocine Rifahi",Documentary,6.7
Life and Nothing More,1992,Abbas Kiarostami,95,"Farhad Kheradmand, Buba Bayour, Hocine Rifahi",Sociology,6.7
Innocent Blood,1992,John Landis,112,"Anne Parillaud, Anthony LaPaglia, Robert Loggia",Action,6.2
Innocent Blood,1992,John Landis,112,"Anne Parillaud, Anthony LaPaglia, Robert Loggia",Sci-Fi Action,6.2
Innocent Blood,1992,John Landis,112,"Anne Parillaud, Anthony LaPaglia, Robert Loggia",Science Fiction,6.2
Sister Act,1992,Emile Ardolino,100,"Whoopi Goldberg, Maggie Smith, Kathy Najimy",Animation,6.5
Sister Act,1992,Emile Ardolino,100,"Whoopi Goldberg, Maggie Smith, Kathy Najimy",Cartoon,6.5
Sister Act,1992,Emile Ardolino,100,"Whoopi Goldberg, Maggie Smith, Kathy Najimy",Comedy,6.5
The Hand That Rocks the Cradle,1992,Curtis Hanson,110,"Annabella Sciorra, Rebecca De Mornay, Matt McCoy",Concert Film,6.7
The Hand That Rocks the Cradle,1992,Curtis Hanson,110,"Annabella Sciorra, Rebecca De Mornay, Matt McCoy",Music,6.7
Benny's Video,1992,Michael Haneke,105,"Arno Frisch, Angela Winkler, Ulrich Mühe",Action Thriller,7.1
Benny's Video,1992,Michael Haneke,105,"Arno Frisch, Angela Winkler, Ulrich Mühe",Action,7.1
Benny's Video,1992,Michael Haneke,105,"Arno Frisch, Angela Winkler, Ulrich Mühe",Horror Comedy,7.1
Single White Female,1992,Barbet Schroeder,107,"Bridget Fonda, Steven Weber, Stephen Tobolowsky",Based-on-Theatre,6.4
Single White Female,1992,Barbet Schroeder,107,"Bridget Fonda, Steven Weber, Stephen Tobolowsky",Drama,6.4
Single White Female,1992,Barbet Schroeder,107,"Bridget Fonda, Steven Weber, Stephen Tobolowsky",Family Drama,6.4
The Cutting Edge,1992,Paul Michael Glaser,101,"D.B. Sweeney, Roy Dotrice, Terry O'Quinn",Action,6.9
The Cutting Edge,1992,Paul Michael Glaser,101,"D.B. Sweeney, Roy Dotrice, Terry O'Quinn",Adventure,6.9
The Cutting Edge,1992,Paul Michael Glaser,101,"D.B. Sweeney, Roy Dotrice, Terry O'Quinn",Based-on-20th-Century-Literature,6.9
Arizona Dream,1992,Emir Kusturica,142,"Johnny Depp, Jerry Lewis, Faye Dunaway",Apocalyptic Film,7.2
Arizona Dream,1992,Emir Kusturica,142,"Johnny Depp, Jerry Lewis, Faye Dunaway",Drama,7.2
Arizona Dream,1992,Emir Kusturica,142,"Johnny Depp, Jerry Lewis, Faye Dunaway",Psychological Drama,7.2
Honeymoon in Vegas,1992,Andrew Bergman,96,"James Caan, Nicolas Cage, Sarah Jessica Parker",Based-on-Theatre,5.9
Honeymoon in Vegas,1992,Andrew Bergman,96,"James Caan, Nicolas Cage, Sarah Jessica Parker",Comedy,5.9
Honeymoon in Vegas,1992,Andrew Bergman,96,"James Caan, Nicolas Cage, Sarah Jessica Parker",Media Satire,5.9
Thunderheart,1992,Michael Apted,119,"Val Kilmer, Sam Shepard, John Trudell",Animation,6.8
Thunderheart,1992,Michael Apted,119,"Val Kilmer, Sam Shepard, John Trudell",Based-on-Comics,6.8
Thunderheart,1992,Michael Apted,119,"Val Kilmer, Sam Shepard, John Trudell",Comedy,6.8
Brother's Keeper,1992,"Joe Berlinger, Bruce Sinofsky",104,"Delbert Ward, Roscoe Ward, Lyman Ward",Comedy Drama,7.5
Brother's Keeper,1992,"Joe Berlinger, Bruce Sinofsky",104,"Delbert Ward, Roscoe Ward, Lyman Ward",Media Satire,7.5
Brother's Keeper,1992,"Joe Berlinger, Bruce Sinofsky",104,"Delbert Ward, Roscoe Ward, Lyman Ward",Satire,7.5
Universal Soldier,1992,Roland Emmerich,103,"Jean-Claude Van Damme, Dolph Lundgren, Ally Walker",Biography,6.1
Universal Soldier,1992,Roland Emmerich,103,"Jean-Claude Van Damme, Dolph Lundgren, Ally Walker",Culture and Society,6.1
Universal Soldier,1992,Roland Emmerich,103,"Jean-Claude Van Damme, Dolph Lundgren, Ally Walker",Documentary,6.1
Passion Fish,1992,John Sayles,135,"Mary McDonnell, David Strathairn, Vondie Curtis-Hall",Coming-of-Age,7.3
Passion Fish,1992,John Sayles,135,"Mary McDonnell, David Strathairn, Vondie Curtis-Hall",Drama,7.3
Passion Fish,1992,John Sayles,135,"Mary McDonnell, David Strathairn, Vondie Curtis-Hall",Melodrama,7.3
Ghostwatch,1992,Lesley Manning,91,"Michael Parkinson, Sarah Greene, Mike Smith",Comedy,7.4
Ghostwatch,1992,Lesley Manning,91,"Michael Parkinson, Sarah Greene, Mike Smith",Domestic Comedy,7.4
Ghostwatch,1992,Lesley Manning,91,"Michael Parkinson, Sarah Greene, Mike Smith",Farce,7.4
Light Sleeper,1992,Paul Schrader,103,"Willem Dafoe, Susan Sarandon, Dana Delany",Based-on-Theatre,6.9
Light Sleeper,1992,Paul Schrader,103,"Willem Dafoe, Susan Sarandon, Dana Delany",Drama,6.9
Light Sleeper,1992,Paul Schrader,103,"Willem Dafoe, Susan Sarandon, Dana Delany",Musical,6.9
American Me,1992,Edward James Olmos,125,"Edward James Olmos, Pepe Serna, William Forsythe",Cyberpunk / Tech Noir,7.1
American Me,1992,Edward James Olmos,125,"Edward James Olmos, Pepe Serna, William Forsythe",Dystopian Film,7.1
American Me,1992,Edward James Olmos,125,"Edward James Olmos, Pepe Serna, William Forsythe",Mindbender,7.1
Radio Flyer,1992,Richard Donner,114,"Elijah Wood, Joseph Mazzello, John Heard",Based-on-Theatre,6.9
Radio Flyer,1992,Richard Donner,114,"Elijah Wood, Joseph Mazzello, John Heard",Childhood Drama,6.9
Radio Flyer,1992,Richard Donner,114,"Elijah Wood, Joseph Mazzello, John Heard",Drama,6.9
Damage,1992,Louis Malle,111,"Jeremy Irons, Juliette Binoche, Miranda Richardson",Comedy,6.7
Damage,1992,Louis Malle,111,"Jeremy Irons, Juliette Binoche, Miranda Richardson",Drama,6.7
Damage,1992,Louis Malle,111,"Jeremy Irons, Juliette Binoche, Miranda Richardson",Parody/Spoof,6.7
Peter's Friends,1992,Kenneth Branagh,101,"Kenneth Branagh, Hugh Laurie, Emma Thompson",Based-on-20th-Century-Literature,7
Peter's Friends,1992,Kenneth Branagh,101,"Kenneth Branagh, Hugh Laurie, Emma Thompson",Crime Thriller,7
Peter's Friends,1992,Kenneth Branagh,101,"Kenneth Branagh, Hugh Laurie, Emma Thompson",Crime,7
The Power of One,1992,John G. Avildsen,127,"Stephen Dorff, Armin Mueller-Stahl, John Gielgud",Action,7.1
The Power of One,1992,John G. Avildsen,127,"Stephen Dorff, Armin Mueller-Stahl, John Gielgud",Action Thriller,7.1
The Power of One,1992,John G. Avildsen,127,"Stephen Dorff, Armin Mueller-Stahl, John Gielgud",Thriller,7.1
Fortress,1992,Stuart Gordon,95,"Christopher Lambert, Loryn Locklin, Kurtwood Smith",Based-on-20th-Century-Literature,5.9
