title,year,director,duration,cast,genre,imdb_rating
The Spirit of the Beehive,1973,Víctor Erice,97,"Ana Torrent, Fernando Fernán Gómez, Teresa Gimpera",Based-on-Theatre  •  Courtroom Drama  •  Drama,7.8
American Graffiti,1973,George Lucas,110,"Richard Dreyfuss, Ron Howard, Paul Le Mat",Comedy  •  Horror Comedy  •  Horror,7.4
The Friends of Eddie Coyle,1973,Peter Yates,102,"Robert Mitchum, Peter Boyle, Richard Jordan",Action  •  Based-on-Comics  •  Cyborg / Android / Robot,7.4
Lady Snowblood,1973,Toshiya Fujita,97,"Meiko Kaji, Toshio Kurosawa, Masaaki Daimon",Action Comedy  •  Action  •  Adventure Comedy,7.6
Sleeper,1973,Woody Allen,89,"Woody Allen, John Beck, Don Keefer",Drama  •  Feminist Film  •  New Hollywood,7.1
Pat Garrett & Billy the Kid,1973,Sam Peckinpah,122,"James Coburn, Kris Kristofferson, Richard Jaeckel",Based-on-20th-Century-Literature  •  Cross-Dressing / Gender-Bending  •  Drama,7.2
Magnum Force,1973,Ted Post,124,"Clint Eastwood, Hal Holbrook, Mitchell Ryan",Anthology Film  •  Black Comedy  •  Body Horror,7.2
Robin Hood,1973,Wolfgang Reitherman,83,"Peter Ustinov, Roger Miller, Brian Bedford",Based-on-a-True-Story  •  Based-on-Theatre  •  Biopic,7.5
Fantastic Planet,1973,René Laloux,72,"Sylvie Lenoir, Jean Valmont, Jennifer Drake",Based-on-a-True-Story  •  Based-on-Comics  •  Comedy Drama,7.7
Westworld,1973,Michael Crichton,88,"Yul Brynner, Richard Benjamin, James Brolin",Comedy of Manners  •  Comedy  •  Road Movie,6.9
Live and Let Die,1973,Guy Hamilton,121,"Roger Moore, Yaphet Kotto, Jane Seymour",Coming-of-Age  •  Crime Drama  •  Crime Thriller,6.7
Soylent Green,1973,Richard Fleischer,97,"Charlton Heston, Leigh Taylor-Young, Chuck Connors",Black Comedy  •  Costume Horror  •  Gothic Film,7
Theater of Blood,1973,Douglas Hickox,104,"Vincent Price, Coral Browne, Renée Ashershon",Comedy  •  Domestic Comedy  •  Farce,7.1
Charley Varrick,1973,Don Siegel,111,"Walter Matthau, Joe Don Baker, Andrew Robinson",Crime Thriller  •  Crime  •  Serial Killer Film,7.5
Scarecrow,1973,Jerry Schatzberg,112,"Gene Hackman, Al Pacino, Ann Wedgeworth",Crime  •  Crime Drama  •  Drama,7.2
My Name Is Nobody,1973,Tonino Valerii,111,"Terence Hill, Henry Fonda, Jean Martin",Traditional Western  •  Western,7.3
The Last of Sheila,1973,Herbert Ross,120,"Richard Benjamin, Dyan Cannon, James Coburn",Drama  •  Religious Drama,7.2
The Legend of Hell House,1973,John Hough,95,"Pamela Franklin, Roddy McDowall, Clive Revill",Comedy Drama  •  Coming-of-Age  •  Drama,6.6
World on a Wire,1973,Rainer Werner Fassbinder,205,"Klaus Löwitsch, Barbara Valentin, Mascha Rabben",Comedy Drama  •  Drama,7.7
Coffy,1973,Jack Hill,91,"Pam Grier, Booker Bradshaw, Robert DoQui",Mystery  •  Police Detective Film  •  Psychological Thriller,6.8
