title,year,director,duration,cast,genre
"Farewell, My Lovely",1975,Dick Richards,95,"Robert Mitchum, Charlotte Rampling, John Ireland",Buddy Film  •  Drama  •  Ensemble Film
Shoot 'Em Up,2007,Michael Davis,86,"Clive Owen, Paul Giamatti, Stephen McHattie",Based-on-20th-Century-Literature  •  Detective Film  •  Mystery
American Made,2017,Doug Liman,115,"Tom Cruise, Sarah Wright, Domhnall Gleeson",Action  •  Action Thriller  •  Thriller
30 Days of Night,2007,David Slade,113,"Josh Hartnett, Melissa George, Danny Huston",Based-on-a-True-Story  •  Biopic  •  Crime Drama
The Woodsman,2004,Nicole Kassell,87,"Kevin Bacon, Kyra Sedgwick, Mos Def",Based-on-Comics  •  Horror  •  Monster Film
Flags of Our Fathers,2006,Clint Eastwood,132,"Ryan Phillippe, Jesse Bradford, Adam Beach",Based-on-Theatre  •  Drama  •  Female-Directed Film
The Loved Ones,2009,Sean Byrne,84,"Xavier Samuel, Robin McLeavy, John Brumpton",Drama  •  War Drama  •  War
Paranoid Park,2007,Gus Van Sant,85,"Gabe Nevins, Taylor Momsen, Scott Green",Horror  •  Ozploitation  •  Sadistic Horror
Suddenly,1954,Lewis Allen,75,"Frank Sinatra, James Gleason, Nancy Gates",Coming-of-Age  •  Drama  •  Psychological Drama
Revanche,2008,Götz Spielmann,121,"Johannes Krisch, Irina Potapenko, Andreas Lust",Crime Thriller  •  Crime  •  Film Noir
Polyester,1981,John Waters,86,"Edith Massey, David Samson, Divine",Crime  •  Crime Drama  •  Crime Thriller
Bye Bye Birdie,1963,George Sidney,112,"Ann-Margret, Dick Van Dyke, Maureen Stapleton",Comedy  •  Domestic Comedy  •  Satire
Bully,2001,Larry Clark,109,"Rachel Miner, Nick Stahl, Brad Renfro",Based-on-Theatre  •  Comedy  •  Musical
The Mummy Returns,2001,Stephen Sommers,130,"Brendan Fraser, Rachel Weisz, Arnold Vosloo",Based-on-a-True-Story  •  Crime  •  Drama
The Beat That My Heart Skipped,2005,Jacques Audiard,108,"Niels Arestrup, Linh-Dan Pham, Emmanuelle Devos",Adventure Comedy  •  Adventure  •  Costume Adventure
Legally Blonde,2001,Robert Luketic,96,"Reese Witherspoon, Luke Wilson, Selma Blair",Crime  •  Crime Drama  •  Drama
The Kid Stays in the Picture,2002,"Nanette Burstein, Brett Morgen",93,Robert Evans,Comedy  •  Comedy of Manners  •  Romance
House of Dracula,1945,Erle C. Kenton,67,"Lon Chaney Jr., John Carradine, Martha O'Driscoll",Biography  •  Documentary  •  History
Emperor of the North Pole,1973,Robert Aldrich,118,"Lee Marvin, Ernest Borgnine, Keith Carradine",Fantasy  •  Horror  •  Sci-Fi Horror
Diggstown,1992,Michael Ritchie,98,"Heather Graham, Oliver Platt, Bruce Dern",Action  •  Action Thriller  •  Drama
'71,2014,Yann Demange,99,"Jack O'Connell, Sam Reid, Sean Harris",Comedy  •  Con Artist / Hustler  •  Crime Comedy
Thor: The Dark World,2013,Alan Taylor,112,"Chris Hemsworth, Natalie Portman, Tom Hiddleston",Action  •  Action Thriller  •  Period Film
Victim,1961,Basil Dearden,100,"Dirk Bogarde, Sylvia Syms, Dennis Price",Action  •  Adventure  •  Based-on-Comics
Belladonna of Sadness,1973,Eiichi Yamamoto,93,"Tatsuya Nakadai, Katsuyuki Itô, Aiko Nagayama",Crime Drama  •  Crime  •  Drama
2 Days in the Valley,1996,John Herzfeld,104,"Danny Aiello, Jeff Daniels, James Spader",Animated Musical  •  Animation  •  Anime
The 'High Sign',1921,"Edward F. Cline, Buster Keaton",21,"Buster Keaton, Bartine Burkett, Charles Dorety",Comedy  •  Crime Comedy  •  Crime
My Bodyguard,1980,Tony Bill,102,"Chris Makepeace, Adam Baldwin, John Houseman",Comedy  •  Short Film  •  Silent Film
Vision Quest,1985,Harold Becker,105,"Matthew Modine, Linda Fiorentino, Michael Schoeffling",Comedy Drama  •  Coming-of-Age  •  Teen Movie
Kickboxer,1989,"Mark DiSalle, David Worth",105,"Jean-Claude Van Damme, Dennis Alexio, Dennis Chan",Drama  •  Romance  •  Romantic Drama
The Skeleton Dance,1929,Walt Disney,6,NA,Action  •  Martial Arts
The Skeleton Twins,2014,Craig Johnson,88,"Kristen Wiig, Bill Hader, Luke Wilson",Animation  •  Cartoon  •  Short Film
The Great Gatsby,2013,Baz Luhrmann,143,"Leonardo DiCaprio, Isla Fisher, Carey Mulligan",Comedy Drama  •  Drama  •  Family Drama
Murderball,2005,Henry Alex Rubin,88,"Keith Cavill, Mark Zupan, Joe Soares",Based-on-20th-Century-Literature  •  Costume Romance  •  Drama
The Dam Busters,1955,Michael Anderson,124,"Michael Redgrave, Charles Carson, Colin Tapley",Biography  •  Culture and Society  •  Documentary
The Tales of Hoffmann,1951,"Michael Powell, Emeric Pressburger",128,"Moira Shearer, Ludmilla Tchérina, Ann Ayars",Action  •  Adventure  •  Docudrama
Hancock,2008,Peter Berg,92,"Will Smith, Charlize Theron, Jason Bateman",Based-on-Theatre  •  Fantasy  •  Musical
San Francisco,1936,W.S. Van Dyke,115,"Clark Gable, Jack Holt, Spencer Tracy",Action  •  Action Comedy  •  Comedy
Godzilla,2014,Gareth Edwards,123,"Aaron Taylor-Johnson, Bryan Cranston, Elizabeth Olsen",Costume Romance  •  Disaster Film  •  Drama
Finding Forrester,2000,Gus Van Sant,136,"Sean Connery, F. Murray Abraham, Anna Paquin",Action  •  Monster Film  •  Sci-Fi Action
The Loves of A Blonde,1965,Milos Forman,90,"Hana Brejchova, Vladimir Pucholt, Vladimír Mensík",Drama  •  Coming-of-Age  •  Urban Drama
The Lower Depths,1957,Akira Kurosawa,125,"Toshirô Mifune, Isuzu Yamada, Kyoko Kagawa",Black Comedy  •  Comedy Drama  •  Comedy of Errors
One Night in Miami...,2020,Regina King,110,"Kingsley Ben-Adir, Eli Goree, Aldis Hodge",Based-on-Theatre  •  Drama  •  Ensemble Film
The Sessions,2012,Ben Lewin,98,"John Hawkes, Helen Hunt, William H. Macy",Drama  •  Female-Directed Film  •  Period Film
The Walk,2015,Robert Zemeckis,123,"Joseph Gordon-Levitt, Ben Kingsley, Charlotte Le Bon",Based-on-a-True-Story  •  Biopic  •  Comedy Drama
Wolfen,1981,Michael Wadleigh,115,"Albert Finney, Diane Venora, Edward James Olmos",Based-on-a-True-Story  •  Biopic  •  Drama
Operation Condor,1991,Jackie Chan,92,"Kenn Goodman, Shoko Ikeda, Eva Cobo",Based-on-20th-Century-Literature  •  Horror  •  Monster Film
Lantana,2001,Ray Lawrence,121,"Anthony LaPaglia, Barbara Hershey, Kerry Armstrong",Action  •  Action Comedy  •  Adventure
The Rutles: All You Need Is Cash,1978,"Eric Idle, Gary Weis",76,"Eric Idle, John Hasley, Ricky Fataar",Drama  •  Ensemble Film  •  Hyperlink Film
Around the World in 80 Days,1956,Michael Anderson,183,"David Niven, Cantinflas, Shirley MacLaine",Comedy  •  Mockumentary  •  Musical
Atlantis: The Lost Empire,2001,"Gary Trousdale, Kirk Wise",95,"Michael J. Fox, Phil Morris, Cree Summer",Adventure Comedy  •  Adventure  •  Based-on-19th-Century-Literature
The Hands of Orlac,1924,Robert Wiene,92,"Conrad Veidt, Alexandra Sorina, Fritz Kortner",Adventure  •  Animation  •  Family-Oriented Adventure
Going Clear: Scientology and the Prison of Belief,2015,Alex Gibney,119,"Lawrence Wright, Mike Rinder, Marty Rathbun",Body Horror  •  Crime  •  Drama
World of Tomorrow,2015,Don Hertzfeldt,17,"Winona Mae, Julia Pott",Culture and Society  •  Documentary
Phone Booth,2003,Joel Schumacher,81,"Colin Farrell, Kiefer Sutherland, Forest Whitaker",Animation  •  Comedy  •  Sci-Fi Comedy
Viva Zapata!,1952,Elia Kazan,113,"Marlon Brando, Jean Peters, Anthony Quinn",Psychological Thriller  •  Thriller
Paranormal Activity,2007,Oren Peli,86,"Katie Featherston, Micah Sloat, Mark Fredrichs",Based-on-a-True-Story  •  Biopic  •  Drama
Lonesome,1928,Pál Fejös,69,"Barbara Kent, Glenn Tryon, Fay Holderness",Found Footage Film  •  Haunted House Film  •  Horror
Identity,2003,James Mangold,91,"John Cusack, Ray Liotta, Alfred Molina",Drama  •  Romance  •  Romantic Drama
Heart of Glass,1976,Werner Herzog,94,"Josef Bierbichler, Stefan Güttler, Clemens Scheitz",Mystery  •  Psychological Thriller  •  Thriller
While You Were Sleeping,1995,Jon Turteltaub,103,"Sandra Bullock, Peter Boyle, Glynis Johns",Avant-garde / Experimental  •  Comedy  •  Drama
C.R.A.Z.Y.,2005,Jean-Marc Vallée,127,"Michel Côté, Marc-André Grondin, Danielle Proulx",Romance  •  Comedy  •  Romantic Comedy
Battle of the Bulge,1965,Ken Annakin,167,"Henry Fonda, Dana Andrews, Robert Shaw",Comedy Drama  •  Coming-of-Age  •  Drama
"I, Claudius",1976,Herbert Wise,650,"Derek Jacobi, Brian Blessed, Sian Phillips",Action  •  Drama  •  War
Bill Cosby: Himself,1983,Bill Cosby,105,Bill Cosby,Based-on-a-True-Story  •  Biopic  •  Drama
Batman: Year One,2011,"Sam Liu, Lauren Montgomery",64,"Ben McKenzie, Bryan Cranston, Eliza Dushku",Comedy  •  Stand-up Comedy
The Replacements,2000,Howard Deutch,118,"Brooke Langton, Rhys Ifans, Jack Warden",Action  •  Animation  •  Based-on-Comics
Things to Do in Denver When You're Dead,1995,Gary Fleder,115,"Treat Williams, Christopher Lloyd, Christopher Walken",Comedy Drama  •  Sports Comedy
Last Action Hero,1993,John McTiernan,130,"Arnold Schwarzenegger, Austin O'Brien, Charles Dance",Comedy Thriller  •  Comedy  •  Crime Comedy
Calamity Jane,1953,David Butler,101,"Doris Day, Howard Keel, Allyn Ann McLerie",Action Comedy  •  Action  •  Buddy Film
Solo: A Star Wars Story,2018,Ron Howard,135,"Alden Ehrenreich, Woody Harrelson, Emilia Clarke",Comedy  •  Comedy Western  •  Musical
Vanya on 42nd Street,1994,Louis Malle,119,"Wallace Shawn, Andre Gregory, Larry Pine",Action  •  Adventure  •  Caper
Earth,1930,Aleksandr Dovzhenko,75,"Stepan Shkurat, Semyon Svashenko, Yuliya Solntseva",Avant-garde / Experimental  •  Based-on-Theatre  •  Drama
The Final Girls,2015,Todd Strauss-Schulson,88,"Taissa Farmiga, Malin Akerman, Alexander Ludwig",Drama  •  Foreign Language Film  •  Political Drama
Basquiat,1996,Julian Schnabel,108,"Jeffrey Wright, David Bowie, Dennis Hopper",Black Comedy  •  Horror Comedy  •  Horror
Resident Evil,2002,Paul W.S. Anderson,100,"Milla Jovovich, Colin Salmon, Michelle Rodriguez",Based-on-a-True-Story  •  Biopic  •  Drama
Unstoppable,2010,Tony Scott,98,"Denzel Washington, Chris Pine, Rosario Dawson",Action  •  Dystopian Film  •  Girls-with-Guns
The Girl Who Kicked the Hornets' Nest,2009,Daniel Alfredson,148,"Michael Nyqvist, Noomi Rapace, Sofia Ledarp",Action Thriller  •  Action  •  Drama
Summer Stock,1950,Charles Walters,108,"Judy Garland, Gene Kelly, Eddie Bracken",Based-on-21st-Century-Literature  •  Courtroom Drama  •  Crime Drama
Mind Game,2004,Masaaki Yuasa,103,"Koji Imada, Sayaka Maeda, Takashi Fujii",Musical  •  Musical Romance  •  Romance
The Pelican Brief,1993,Alan J. Pakula,141,"Julia Roberts, Denzel Washington, Sam Shepard",Adventure Comedy  •  Adventure  •  Animation
Dan in Real Life,2007,Peter Hedges,98,"Steve Carell, Juliette Binoche, Dane Cook",Action Thriller  •  Based-on-20th-Century-Literature  •  Paranoid Thriller
Le Plaisir,1952,Max Ophüls,97,"Claude Dauphin, Gaby Morlay, Madeleine Renaud",Comedy Drama  •  Domestic Comedy  •  Romance
Deepwater Horizon,2016,Peter Berg,107,"Mark Wahlberg, Kurt Russell, Dylan O'Brien",Comedy Drama  •  Drama  •  Foreign Language Film
Detroit,2017,Kathryn Bigelow,143,"John Boyega, Will Poulter, Algee Smith",Action Thriller  •  Action  •  Based-on-a-True-Story
What Dreams May Come,1998,Vincent Ward,113,"Cuba Gooding Jr., Max von Sydow, Rosalind Chao",Based-on-a-True-Story  •  Crime Drama  •  Crime Thriller
Shadows and Fog,1992,Woody Allen,85,"Woody Allen, Madonna, Donald Pleasence",Based-on-20th-Century-Literature  •  Drama  •  Fantasy
La Bamba,1987,Luis Valdez,108,"Lou Diamond Phillips, Esai Morales, Rosanna DeSoto",Comedy of Errors  •  Comedy Thriller  •  Comedy
The Killer,2023,David Fincher,118,"Michael Fassbender, Tilda Swinton, Arliss Howard",Based-on-a-True-Story  •  Biopic  •  Docudrama
Valhalla Rising,2009,Nicolas Winding Refn,100,"Mads Mikkelsen, Gary Lewis, Jamie Sives",Action Thriller  •  Action  •  Based-on-Comics
The Man in the Iron Mask,1998,Randall Wallace,132,"Leonardo DiCaprio, Gabriel Byrne, John Malkovich",Adventure  •  Adventure Drama  •  Drama
From the Earth to the Moon,1998,Michael Grossman,720,"Tom Hanks, Nick Searcy, Lane Smith",Adventure  •  Adventure Drama  •  Based-on-19th-Century-Literature
Wise Blood,1979,John Huston,106,"John Huston, Brad Dourif, Dan Shor",Docudrama  •  History  •  Made-for-Television
The Girl Next Door,2004,Luke Greenfield,108,"Emile Hirsch, Elisha Cuthbert, Timothy Olyphant",Comedy Drama  •  Drama  •  New Hollywood
Greenberg,2010,Noah Baumbach,107,"Rhys Ifans, Chris Messina, Susan Traylor",Comedy Drama  •  Drama  •  Romance
The Cable Guy,1996,Ben Stiller,96,"Jim Carrey, Matthew Broderick, Leslie Mann",Comedy Drama  •  Drama  •  Slice of Life
American Gigolo,1980,Paul Schrader,117,"Richard Gere, Lauren Hutton, Hector Elizondo",Black Comedy  •  Comedy Drama  •  Media Satire
Airport,1970,George Seaton,137,"Burt Lancaster, Dean Martin, Jean Seberg",Crime  •  Crime Drama  •  Drama
A Cry in the Dark,1988,Fred Schepisi,120,"Meryl Streep, Sam Neill, Nick Tate",Action  •  Disaster Film  •  Drama
Halloween 4: The Return of Michael Myers,1988,Dwight H. Little,88,"Donald Pleasence, Ellie Cornell, Danielle Harris",Based-on-a-True-Story  •  Courtroom Drama  •  Docudrama
When the Levees Broke,2006,Spike Lee,255,"Darleen Asevedo, Jay Asevedo, Shelton 'Shakespeare' Alexander",Horror  •  Slasher Film
The Three Musketeers,1993,Stephen Herek,105,"Kiefer Sutherland, Chris O'Donnell, Oliver Platt",Culture and Society  •  Documentary  •  Made-for-Television
"Léon Morin, Priest",1961,Jean-Pierre Melville,115,"Jean-Paul Belmondo, Emmanuelle Riva, Irène Tunc",Adventure  •  Based-on-19th-Century-Literature  •  Costume Adventure
A Goofy Movie,1995,Kevin Lima,78,"Jason Marsden, Rob Paulsen, Wallace Shawn",Drama  •  Foreign Language Film  •  Psychological Drama
Where the Buffalo Roam,1980,Art Linson,96,"Peter Boyle, Bruno Kirby, Rafael Campos",Animated Musical  •  Animation  •  Comedy
A Foreign Affair,1948,Billy Wilder,116,"Jean Arthur, Marlene Dietrich, John Lund",Comedy  •  Satire  •  Absurd Comedy
Absolute Power,1997,Clint Eastwood,121,"Clint Eastwood, Ed Harris, Scott Glenn",Comedy  •  Romance  •  Romantic Comedy
The Sunshine Boys,1975,Herbert Ross,111,"Walter Matthau, George Burns, Richard Benjamin",Political Thriller  •  Thriller
The River Wild,1994,Curtis Hanson,108,"Meryl Streep, Kevin Bacon, David Strathairn",Based-on-Theatre  •  Comedy  •  Reunion Films
The Da Vinci Code,2006,Ron Howard,149,"Tom Hanks, Audrey Tautou, Ian McKellen",Action Thriller  •  Action  •  Adventure Drama
Once Upon a Time in China II,1992,Hark Tsui,113,"Jet Li, Rosamund Kwan, Donnie Yen",Crime Drama  •  Crime Thriller  •  Crime
The Old Man and the Sea,1958,John Sturges,86,"Spencer Tracy, Felipe Pazos, Harry Bellaver",Action Comedy  •  Action  •  Comedy
Colossal,2016,Nacho Vigalondo,110,"Anne Hathaway, Jason Sudeikis, Tim Blake Nelson",Adventure Drama  •  Adventure  •  Based-on-20th-Century-Literature
Duel in the Sun,1946,King Vidor,144,"Jennifer Jones, Joseph Cotten, Gregory Peck",Drama  •  Monster Film  •  Science Fiction
When a Stranger Calls,1979,Fred Walton,97,"Carol Kane, Colleen Dewhurst, Rutanya Alda",Drama  •  Melodrama  •  Romance
Diary of a Chambermaid,1964,Luis Buñuel,98,"Jeanne Moreau, Michel Piccoli, Muni",Home Invasion Film  •  Horror  •  Psychological Horror
The Craft,1996,Andrew Fleming,101,"Fairuza Balk, Neve Campbell, Skeet Ulrich",Drama  •  Foreign Language Film  •  Political Satire
In a Better World,2010,Susanne Bier,119,"Mikael Persbrandt, Trine Dyrholm, Ulrich Thomsen",Horror  •  Supernatural Horror  •  Teen Movie
Tropical Malady,2004,Apichatpong Weerasethakul,118,"Sakda Kaewbuadee, Banlop Lomnoi",Childhood Drama  •  Drama  •  Female-Directed Film
A Nightmare on Elm Street 4: The Dream Master,1988,Renny Harlin,93,"Robert Englund, Rodney Eastman, Lisa Wilcox",Adventure Drama  •  Avant-garde / Experimental  •  Drama
The Prisoner of Zenda,1937,John Cromwell,101,"Ronald Colman, Madeleine Carroll, Douglas Fairbanks Jr.",Horror  •  Slasher Film  •  Supernatural Horror
Fire in the Sky,1993,Robert Lieberman,109,"D.B. Sweeney, Robert Patrick, Craig Sheffer",Adventure  •  Adventure Drama  •  Costume Adventure
Dark Star,1974,John Carpenter,83,"Brian Narelle, Cal Kuniholm, Dre Pahich",Based-on-20th-Century-Literature  •  Docudrama  •  Drama
Confessions,2010,Tetsuya Nakashima,106,"Takako Matsu, Masaki Okada, Yoshino Kimura",Comedy  •  Satire  •  Science Fiction
Godzilla vs. the Smog Monster,1971,Yoshimitsu Banno,87,"Akira Yamauchi, Toshie Kimura, Hiroyuki Kawase",Drama  •  Foreign Language Film  •  Psychological Drama
Red Cliff: Part II,2009,John Woo,142,"Wei Zhao, Takeshi Kaneshiro, Tony Leung Chiu Wai",Action  •  Foreign Language Film  •  Horror
The Black Pirate,1926,Albert Parker,94,"Billie Dove, Donald Crisp, Sam de Grasse",Adventure  •  Costume Adventure  •  Epic
Hair-Raising Hare,1946,Chuck Jones,7,Mel Blanc,Adventure  •  Costume Adventure  •  Period Film
The Match Factory Girl,1990,Aki Kaurismäki,68,"Elina Salo, Esko Nikkari, Kati Outinen",Animation  •  Cartoon  •  Comedy
The Train Robbers,1973,Burt Kennedy,92,"John Wayne, Ben Johnson, Christopher George",Black Comedy  •  Comedy Drama  •  Crime Drama
The Smiling Lieutenant,1931,Ernst Lubitsch,89,"Maurice Chevalier, Claudette Colbert, Miriam Hopkins",Western  •  Traditional Western
Redline,2009,Takeshi Koike,100,"Takuya Kimura, Tadanobu Asano, Yû Aoi",Comedy  •  Musical  •  Musical Comedy
Spring Breakers,2012,Harmony Korine,92,"James Franco, Selena Gomez, Ashley Benson",Action  •  Animation  •  Anime
An Evening with Kevin Smith,2002,J.M. Kenny,224,"Kevin Smith, Jason Mewes, Scott Mosier",Black Comedy  •  Coming-of-Age  •  Crime Comedy
Babes in Toyland,1934,"Gus Meins, Charley Rogers",77,"Oliver Hardy, Charlotte Henry, Stan Laurel",Comedy  •  Concert Film  •  Stand-up Comedy
Hold That Ghost,1941,Arthur Lubin,86,"Bud Abbott, Lou Costello, Richard Carlson",Comedy  •  Fairy Tales and Legends  •  Family-Oriented Adventure
Soapdish,1991,Michael Hoffman,97,"Sally Field, Kevin Kline, Robert Downey Jr.",Comedy  •  Farce  •  Haunted House Film
Nymphomaniac: Volume I,2013,Lars von Trier,118,"Charlotte Gainsbourg, Stellan Skarsgård, Stacy Martin",Comedy  •  Farce  •  Media Satire
Crossroads,1986,Walter Hill,96,"Ralph Macchio, Joe Seneca, Jami Gertz",Addiction Drama  •  Drama  •  Erotic Drama
The End of Summer,1961,Yasujirô Ozu,103,"Ganjiro Nakamura, Setsuko Hara, Yôko Tsukasa",Coming-of-Age  •  Drama  •  Odd Couple Film
Jackass: The Movie,2002,Jeff Tremaine,87,"Johnny Knoxville, Steve-O, Ryan Dunn",Drama  •  Family Drama  •  Foreign Language Film
Dr. Jekyll and Mr. Hyde,1941,Victor Fleming,113,"Spencer Tracy, Ingrid Bergman, Lana Turner",Based-on-Television  •  Comedy  •  Documentary
David Copperfield,1935,George Cukor,130,"W.C. Fields, Lionel Barrymore, Maureen O'Sullivan",Based-on-19th-Century-Literature  •  Costume Horror  •  Drama
The Cat and the Canary,1927,Paul Leni,82,"Laura La Plante, Creighton Hale, Forrest Stanley",Based-on-19th-Century-Literature  •  Childhood Drama  •  Drama
Jungle Fever,1991,Spike Lee,132,"Wesley Snipes, Annabella Sciorra, Spike Lee",Comedy  •  German Expressionist Film  •  Gothic Film
Buffy the Vampire Slayer,1992,Fran Rubel Kuzui,86,"Kristy Swanson, Donald Sutherland, Paul Reubens",Drama  •  Romance  •  Romantic Drama
The Fall Guy,2024,David Leitch,114,"Ryan Gosling, Emily Blunt, Hannah Waddingham",Comedy  •  Female-Directed Film  •  Horror Comedy
Dirty Mary Crazy Larry,1974,John Hough,93,"Peter Fonda, Susan George, Adam Roarke",Action Comedy  •  Action  •  Based-on-Television
Dracula's Daughter,1936,Lambert Hillyer,71,"Otto Kruger, Gloria Holden, Marguerite Churchill",Action  •  Carsploitation  •  Chase Movie
Che: Part Two,2008,Steven Soderbergh,135,"Benicio Del Toro, Carlos Bardem, Demian Bichir",Based-on-20th-Century-Literature  •  Gothic Film  •  Horror
Invictus,2009,Clint Eastwood,134,"Morgan Freeman, Matt Damon, Tony Kgoroge",Based-on-a-True-Story  •  Biopic  •  Drama
Whisky Galore!,1949,Alexander Mackendrick,82,"Basil Radford, Catherine Lacey, Bruce Seton",Based-on-a-True-Story  •  Biopic  •  Drama
Mid90s,2018,Jonah Hill,84,"Sunny Suljic, Lucas Hedges, Na-kel Smith",Comedy  •  Comedy of Manners  •  Crime
Ransom,1996,Ron Howard,139,"Mel Gibson, Rene Russo, Gary Sinise",Comedy Drama  •  Coming-of-Age  •  Drama
North Dallas Forty,1979,Ted Kotcheff,119,"Nick Nolte, Charles Durning, Mac Davis",Crime  •  Crime Thriller  •  Thriller
Juice,1992,Ernest R. Dickerson,95,"Omar Epps, Khalil Kain, Samuel L. Jackson",Drama  •  Sports Drama
"Me, Myself & Irene",2000,Bobby & Peter Farrelly,116,"Jim Carrey, Chris Cooper, Renée Zellweger",Crime Drama  •  Crime  •  Drama
The Crucible,1996,Nicholas Hytner,124,"Daniel Day-Lewis, Winona Ryder, Paul Scofield",Comedy  •  Gross-Out Comedy  •  Slapstick
American Honey,2016,Andrea Arnold,162,"Sasha Lane, Shia LaBeouf, McCaul Lombardi",Based-on-Theatre  •  Courtroom Drama  •  Drama
Together,2000,Lukas Moodysson,106,"Lisa Lindgren, Michael Nyqvist, Emma Samuelsson",Comedy Drama  •  Drama  •  Female-Directed Film
No Regrets for Our Youth,1946,Akira Kurosawa,110,"Susumu Fujita, Eiko Miyoshi, Setsuko Hara",Comedy  •  Coming-of-Age  •  Drama
Personal Shopper,2016,Olivier Assayas,105,"Kristen Stewart, Lars Eidinger, Sigrid Bouaziz",Based-on-a-True-Story  •  Drama  •  Foreign Language Film
[REC]²,2009,"Jaume Balagueró, Paco Plaza",85,"Jonathan D. Mellor, Óscar Zafra, Ariel Casas",Drama  •  Ghost Film  •  Mystery
Eddie and the Cruisers,1983,Martin Davidson,95,"Tom Berenger, Michael Paré, Joe Pantoliano",Foreign Language Film  •  Found Footage Film  •  Horror
Krull,1983,Peter Yates,121,"Ken Marshall, Lysette Anthony, Freddie Jones",Drama  •  Musical Drama  •  Musical
Cliffhanger,1993,Renny Harlin,113,"Sylvester Stallone, John Lithgow, Michael Rooker",Action  •  Adventure  •  Fantasy Adventure
Mamma Roma,1962,Pier Paolo Pasolini,106,"Anna Magnani, Ettore Garofolo, Franco Citti",Action Thriller  •  Action  •  Adventure
The Edukators,2004,Hans Weingartner,127,"Julia Jentsch, Burghart Klaussner, Daniel Brühl",Drama  •  Foreign Language Film  •  Italian Neorealism
Pride and Prejudice,1940,Robert Z. Leonard,117,"Laurence Olivier, Edna May Oliver, Maureen O'Sullivan",Comedy Drama  •  Coming-of-Age  •  Crime
Married to the Mob,1988,Jonathan Demme,103,"Michelle Pfeiffer, Dean Stockwell, Alec Baldwin",Based-on-19th-Century-Literature  •  Comedy Drama  •  Comedy of Manners
Hitman Hart: Wrestling with Shadows,1998,Paul Jay,93,"Bret Hart, Owen Hart, Brian Pillman",Comedy  •  Crime Comedy  •  Crime
Appaloosa,2008,Ed Harris,115,"Ed Harris, Viggo Mortensen, Jeremy Irons",Biography  •  Documentary  •  Sports and Recreation
Truck Turner,1974,Jonathan Kaplan,91,"Isaac Hayes, Yaphet Kotto, Dick Miller",Traditional Western  •  Western
Sleepwalk With Me,2012,"Mike Birbiglia, Seth Barrish",80,"Mike Birbiglia, Lauren Ambrose, Cristin Milioti",Action Thriller  •  Action  •  Blaxploitation
Religulous,2008,Larry Charles,101,Bill Maher,Based-on-a-True-Story  •  Comedy Drama  •  Drama
"Truly, Madly, Deeply",1991,Anthony Minghella,106,"Juliet Stevenson, Alan Rickman, Jenny Howe",Culture and Society  •  Documentary
The Strange Vice of Mrs. Wardh,1971,Sergio Martino,81,"Edwige Fenech, Ivan Rassimov, Alberto de Mendoza",Fantasy  •  Heaven-Can-Wait Fantasies  •  Romance
Funny People,2009,Judd Apatow,146,"Adam Sandler, Seth Rogen, Leslie Mann",Crime Thriller  •  Crime  •  Foreign Language Film
Micmacs,2009,Jean-Pierre Jeunet,105,"Yolande Moreau, André Dussollier, Dany Boon",Comedy Drama  •  Drama  •  Psychological Drama
Scrooge,1970,Ronald Neame,120,"Albert Finney, Edith Evans, David Collings",Comedy  •  Crime  •  Foreign Language Film
Hardware,1990,Richard Stanley,93,"Stacey Travis, Dylan McDermott, Carl McCoy",Based-on-19th-Century-Literature  •  Fantasy  •  Holiday Film
Thoroughbreds,2017,Cory Finley,90,"Anya Taylor-Joy, Olivia Cooke, Anton Yelchin",Action  •  Based-on-Comics  •  Cyberpunk / Tech Noir
The Leopard Man,1943,Jacques Tourneur,66,"Margo, James Bell, Margaret Landry",Black Comedy  •  Comedy Thriller  •  Psychological Thriller
Bitter Moon,1994,Roman Polanski,140,"Peter Coyote, Hugh Grant, Kristin Scott Thomas",Crime  •  Horror  •  Natural Horror
The Trial of Joan of Arc,1962,Robert Bresson,65,"Florence Delay, Jean-Claude Fourneau, Roger Honorat",Black Comedy  •  Comedy Drama  •  Drama
Orgazmo,1997,Trey Parker,94,"Trey Parker, Matt Stone, Dian Bachar",Based-on-a-True-Story  •  Biopic  •  Drama
Needful Things,1993,Fraser C. Heston,120,"Ed Harris, J.T. Walsh, Bonnie Bedelia",Comedy  •  Science Fiction  •  Sex Comedy
The Hospital,1971,Arthur Hiller,103,"George C. Scott, Diana Rigg, Barnard Hughes",Based-on-20th-Century-Literature  •  Horror  •  Supernatural Horror
Bang the Drum Slowly,1973,John D. Hancock,96,"Vincent Gardenia, Ann Wedgeworth, Danny Aiello",Black Comedy  •  Comedy Drama  •  Medical Drama
Ragtime,1981,Milos Forman,155,"James Cagney, Brad Dourif, Moses Gunn",Drama  •  Melodrama  •  Sports Drama
Jagged Edge,1985,Richard Marquand,108,"Jeff Bridges, Glenn Close, Peter Coyote",Americana  •  Drama  •  Ensemble Film
Thirteen,2003,Catherine Hardwicke,100,"Evan Rachel Wood, Holly Hunter, Deborah Kara Unger",Courtroom Drama  •  Drama  •  Psychological Thriller
Air,2023,Ben Affleck,112,"Matt Damon, Ben Affleck, Jason Bateman",Coming-of-Age  •  Drama  •  Family Drama
Maurice,1987,James Ivory,140,"James Wilby, Hugh Grant, Rupert Graves",Based-on-a-True-Story  •  Biopic  •  Drama
