title,year,director,duration,cast,genre
Notorious,1946,Alfred Hitchcock,101,"Cary Grant, Ingrid Bergman, Claude Rains",Drama  •  Foreign Language Film  •  Psychological Drama
Sunset Blvd.,1950,Billy Wilder,110,"William Holden, Gloria Swanson, Nancy Olson",Film Noir  •  Mystery  •  Political Thriller
The Seventh Seal,1957,Ingmar Bergman,96,"Max von Sydow, Gunnar Björnstrand, Bengt Ekerot",Drama  •  Femme Fatale  •  Film Noir
The Departed,2006,Martin Scorsese,151,"Leonardo DiCaprio, Matt Damon, Mark Wahlberg",Drama  •  Fantasy  •  Foreign Language Film
Batman Begins,2005,Christopher Nolan,140,"Christian Bale, Katie Holmes, Gary Oldman",Crime Drama  •  Crime Thriller  •  Crime
Stalker,1979,Andrei Tarkovsky,163,"Aleksandr Kaidanovsky, Alisa Frejndlikh, Anatoli Solonitsyn",Action  •  Action Thriller  •  Based-on-Comics
Grand Illusion,1937,Jean Renoir,114,"Jean Gabin, Dita Parlo, Pierre Fresnay",Adventure Drama  •  Adventure  •  Based-on-20th-Century-Literature
2001: A Space Odyssey,1968,Stanley Kubrick,141,"Keir Dullea, Gary Lockwood, William Sylvester",Anti-War Film  •  Drama  •  Escape Film
Strangers on a Train,1951,Alfred Hitchcock,101,"Farley Granger, Robert Walker, Ruth Roman",Adventure  •  Based-on-20th-Century-Literature  •  Cyborg / Android / Robot
Ace in the Hole,1951,Billy Wilder,111,"Kirk Douglas, Robert Arthur, Jan Sterling",Based-on-20th-Century-Literature  •  Crime Thriller  •  Crime
Modern Times,1936,Charles Chaplin,87,"Charles Chaplin, Henry Bergman, Chester Conklin",Black Comedy  •  Comedy Drama  •  Drama
The Professional,1994,Luc Besson,110,"Jean Reno, Natalie Portman, Gary Oldman",Comedy  •  Satire  •  Silent Film
Inglourious Basterds,2009,Quentin Tarantino,153,"Melanie Laurent, Brad Pitt, Christoph Waltz",Action Thriller  •  Action  •  Buddy Film
On the Waterfront,1954,Elia Kazan,108,"Marlon Brando, Karl Malden, Lee J. Cobb",Adventure  •  Revenge Film  •  War Adventure
Rocky,1976,John G. Avildsen,119,"Sylvester Stallone, Talia Shire, Burt Young",Crime Drama  •  Crime  •  Drama
8½,1963,Federico Fellini,138,"Marcello Mastroianni, Claudia Cardinale, Anouk Aimée",Drama  •  New Hollywood  •  Sports Drama
Network,1976,Sidney Lumet,121,"Faye Dunaway, William Holden, Peter Finch",Comedy Drama  •  Drama  •  Ensemble Film
Throne of Blood,1957,Akira Kurosawa,109,"Toshirô Mifune, Isuzu Yamada, Minoru Chiaki",Black Comedy  •  Comedy Drama  •  Drama
Sweet Smell of Success,1957,Alexander Mackendrick,96,"Burt Lancaster, Tony Curtis, Susan Harrison",Action Thriller  •  Action  •  Based-on-Shakespeare
In a Lonely Place,1950,Nicholas Ray,94,"Humphrey Bogart, Gloria Grahame, Frank Lovejoy",Drama  •  Film Noir  •  Media Satire
Indiana Jones and the Temple of Doom,1984,Steven Spielberg,118,"Harrison Ford, Kate Capshaw, Ke Huy Quan",Crime Drama  •  Crime  •  Drama
A Matter of Life and Death,1946,"Michael Powell, Emeric Pressburger",104,"David Niven, Kim Hunter, Roger Livesey",Action  •  Adventure  •  Costume Adventure
