title,year,director,duration,cast,genre,imdb_rating
Where's Poppa?,1970,Carl Reiner,82,George Segal,Black Comedy  •  Satire,6.4
Where's Poppa?,1970,Carl Reiner,82,Ruth Gordon,Black Comedy  •  Satire,6.4
Where's Poppa?,1970,Carl Reiner,82,Ron Leibman,Black Comedy  •  Satire,6.4
Darling Lili,1970,Blake Edwards,107,Julie Andrews,Musical  •  Spy Film  •  Melodrama,6
Darling Lili,1970,Blake Edwards,107,Rock Hudson,Musical  •  Spy Film  •  Melodrama,6
Darling Lili,1970,Blake Edwards,107,Jeremy Kemp,Musical  •  Spy Film  •  Melodrama,6
The Horror of Frankenstein,1970,Jimmy Sangster,95,Ralph Bates,Costume Horror  •  Gothic Film  •  Horror,5.8
The Horror of Frankenstein,1970,Jimmy Sangster,95,Kate O'Mara,Costume Horror  •  Gothic Film  •  Horror,5.8
The Horror of Frankenstein,1970,Jimmy Sangster,95,Veronica Carlson,Costume Horror  •  Gothic Film  •  Horror,5.8
They Call Me MISTER Tibbs!,1970,Gordon Douglas,108,Sidney Poitier,Crime Drama  •  Crime  •  Drama,6
They Call Me MISTER Tibbs!,1970,Gordon Douglas,108,Martin Landau,Crime Drama  •  Crime  •  Drama,6
They Call Me MISTER Tibbs!,1970,Gordon Douglas,108,Edward Asner,Crime Drama  •  Crime  •  Drama,6
Julius Caesar,1970,Stuart Burge,117,Charlton Heston,Based-on-Shakespeare  •  Based-on-Theatre  •  Epic,6.1
Julius Caesar,1970,Stuart Burge,117,Jason Robards,Based-on-Shakespeare  •  Based-on-Theatre  •  Epic,6.1
Julius Caesar,1970,Stuart Burge,117,John Gielgud,Based-on-Shakespeare  •  Based-on-Theatre  •  Epic,6.1
The Confession,1970,Costa-Gavras,139,Yves Montand,Drama  •  Foreign Language Film  •  Political Drama,7.8
The Confession,1970,Costa-Gavras,139,Jean Bouise,Drama  •  Foreign Language Film  •  Political Drama,7.8
The Confession,1970,Costa-Gavras,139,Georges Aubert,Drama  •  Foreign Language Film  •  Political Drama,7.8
The Railway Children,1970,Lionel Jeffries,109,Dinah Sheridan,Drama  •  Family Drama  •  Period Film,7.3
The Railway Children,1970,Lionel Jeffries,109,Bernard Cribbins,Drama  •  Family Drama  •  Period Film,7.3
The Railway Children,1970,Lionel Jeffries,109,Jenny Agutter,Drama  •  Family Drama  •  Period Film,7.3
I Drink Your Blood,1970,David E. Durston,90,Bhaskar Roy Chowdhury,Exploitation Film  •  Horror,5.9
I Drink Your Blood,1970,David E. Durston,90,Jadine Wong,Exploitation Film  •  Horror,5.9
I Drink Your Blood,1970,David E. Durston,90,Rhonda Fultz,Exploitation Film  •  Horror,5.9
On a Clear Day You Can See Forever,1970,Vincente Minnelli,129,Barbra Streisand,Comedy  •  Musical  •  Musical Comedy,6.4
On a Clear Day You Can See Forever,1970,Vincente Minnelli,129,Bob Newhart,Comedy  •  Musical  •  Musical Comedy,6.4
On a Clear Day You Can See Forever,1970,Vincente Minnelli,129,Larry Blyden,Comedy  •  Musical  •  Musical Comedy,6.4
I Never Sang for My Father,1970,Gilbert Cates,92,Melvyn Douglas,Based-on-Theatre  •  Drama  •  Family Drama,7.4
I Never Sang for My Father,1970,Gilbert Cates,92,Gene Hackman,Based-on-Theatre  •  Drama  •  Family Drama,7.4
I Never Sang for My Father,1970,Gilbert Cates,92,Estelle Parsons,Based-on-Theatre  •  Drama  •  Family Drama,7.4
Witches' Hammer,1970,Otakar Vávra,103,Elo Romancik,Drama  •  Foreign Language Film  •  Historical Film,3.1
Witches' Hammer,1970,Otakar Vávra,103,Vladimír Smeral,Drama  •  Foreign Language Film  •  Historical Film,3.1
Witches' Hammer,1970,Otakar Vávra,103,Sona Valentová,Drama  •  Foreign Language Film  •  Historical Film,3.1
The Dunwich Horror,1970,Daniel Haller,90,Sandra Dee,Based-on-20th-Century-Literature  •  Horror  •  Supernatural Horror,5.4
The Dunwich Horror,1970,Daniel Haller,90,Dean Stockwell,Based-on-20th-Century-Literature  •  Horror  •  Supernatural Horror,5.4
The Dunwich Horror,1970,Daniel Haller,90,Ed Begley,Based-on-20th-Century-Literature  •  Horror  •  Supernatural Horror,5.4
The Wizard of Gore,1970,Herschell Gordon Lewis,95,Ray Sager,Exploitation Film  •  Horror  •  Splatter Film,5.2
The Wizard of Gore,1970,Herschell Gordon Lewis,95,Judy Cler,Exploitation Film  •  Horror  •  Splatter Film,5.2
The Wizard of Gore,1970,Herschell Gordon Lewis,95,Wayne Ratay,Exploitation Film  •  Horror  •  Splatter Film,5.2
Zatoichi: The Festival of Fire,1970,Kenji Misumi,96,Shintarô Katsu,Action  •  Adventure  •  Costume Adventure,7
Zatoichi: The Festival of Fire,1970,Kenji Misumi,96,Tatsuya Nakadai,Action  •  Adventure  •  Costume Adventure,7
Zatoichi: The Festival of Fire,1970,Kenji Misumi,96,Reiko Ohara,Action  •  Adventure  •  Costume Adventure,7
A Clockwork Orange,1971,Stanley Kubrick,136,Malcolm McDowell,Based-on-20th-Century-Literature  •  Dystopian Film  •  Juvenile Delinquency Film,8.2
A Clockwork Orange,1971,Stanley Kubrick,136,Warren Clarke,Based-on-20th-Century-Literature  •  Dystopian Film  •  Juvenile Delinquency Film,8.2
A Clockwork Orange,1971,Stanley Kubrick,136,Patrick Magee,Based-on-20th-Century-Literature  •  Dystopian Film  •  Juvenile Delinquency Film,8.2
Willy Wonka & the Chocolate Factory,1971,Mel Stuart,100,Jack Albertson,Comedy Drama  •  Comedy of Manners  •  Coming-of-Age,7.8
Willy Wonka & the Chocolate Factory,1971,Mel Stuart,100,Julie Dawn Cole,Comedy Drama  •  Comedy of Manners  •  Coming-of-Age,7.8
Willy Wonka & the Chocolate Factory,1971,Mel Stuart,100,Gene Wilder,Comedy Drama  •  Comedy of Manners  •  Coming-of-Age,7.8
The French Connection,1971,William Friedkin,104,Gene Hackman,Drama  •  Media Satire  •  Satire,7.7
The French Connection,1971,William Friedkin,104,Fernando Rey,Drama  •  Media Satire  •  Satire,7.7
The French Connection,1971,William Friedkin,104,Roy Scheider,Drama  •  Media Satire  •  Satire,7.7
The Last Picture Show,1971,Peter Bogdanovich,118,Timothy Bottoms,Action Thriller  •  Action  •  Caper,8
The Last Picture Show,1971,Peter Bogdanovich,118,Jeff Bridges,Action Thriller  •  Action  •  Caper,8
The Last Picture Show,1971,Peter Bogdanovich,118,Cybill Shepherd,Action Thriller  •  Action  •  Caper,8
McCabe & Mrs. Miller,1971,Robert Altman,120,Warren Beatty,Action  •  Adventure  •  Alien Invasion Films,7.6
McCabe & Mrs. Miller,1971,Robert Altman,120,Julie Christie,Action  •  Adventure  •  Alien Invasion Films,7.6
McCabe & Mrs. Miller,1971,Robert Altman,120,René Auberjonois,Action  •  Adventure  •  Alien Invasion Films,7.6
Harold and Maude,1971,Hal Ashby,91,Ruth Gordon,Action Thriller  •  Action  •  Based-on-20th-Century-Literature,7.9
Harold and Maude,1971,Hal Ashby,91,Bud Cort,Action Thriller  •  Action  •  Based-on-20th-Century-Literature,7.9
Harold and Maude,1971,Hal Ashby,91,Vivian Pickles,Action Thriller  •  Action  •  Based-on-20th-Century-Literature,7.9
Dirty Harry,1971,Don Siegel,102,Reni Santoni,Addiction Drama  •  Drama  •  Film Noir,7.7
Dirty Harry,1971,Don Siegel,102,Clint Eastwood,Addiction Drama  •  Drama  •  Film Noir,7.7
Dirty Harry,1971,Don Siegel,102,John Vernon,Addiction Drama  •  Drama  •  Film Noir,7.7
Straw Dogs,1971,Sam Peckinpah,118,Dustin Hoffman,Action  •  Psychological Sci-Fi  •  Science Fiction,7.4
Straw Dogs,1971,Sam Peckinpah,118,Susan George,Action  •  Psychological Sci-Fi  •  Science Fiction,7.4
Straw Dogs,1971,Sam Peckinpah,118,Peter Vaughan,Action  •  Psychological Sci-Fi  •  Science Fiction,7.4
Duel,1971,Steven Spielberg,74,Dennis Weaver,Based-on-20th-Century-Literature  •  Black Comedy  •  Body Horror,7.6
Duel,1971,Steven Spielberg,74,Eddie Firestone,Based-on-20th-Century-Literature  •  Black Comedy  •  Body Horror,7.6
Duel,1971,Steven Spielberg,74,Gene Dynarski,Based-on-20th-Century-Literature  •  Black Comedy  •  Body Horror,7.6
Walkabout,1971,Nicolas Roeg,100,Jenny Agutter,Animated Musical  •  Animation  •  Fairy Tales and Legends,7.6
Walkabout,1971,Nicolas Roeg,100,Luc Roeg,Animated Musical  •  Animation  •  Fairy Tales and Legends,7.6
Walkabout,1971,Nicolas Roeg,100,David Gulpilil,Animated Musical  •  Animation  •  Fairy Tales and Legends,7.6
The Devils,1971,Ken Russell,111,Vanessa Redgrave,Action  •  Based-on-Comics  •  Fantasy,7.7
The Devils,1971,Ken Russell,111,Oliver Reed,Action  •  Based-on-Comics  •  Fantasy,7.7
The Devils,1971,Ken Russell,111,Dudley Sutton,Action  •  Based-on-Comics  •  Fantasy,7.7
Get Carter,1971,Mike Hodges,112,Michael Caine,Horror Comedy  •  Horror  •  Monster Film,7.3
Get Carter,1971,Mike Hodges,112,Ian Hendry,Horror Comedy  •  Horror  •  Monster Film,7.3
Get Carter,1971,Mike Hodges,112,Britt Ekland,Horror Comedy  •  Horror  •  Monster Film,7.3
"Duck, You Sucker",1971,Sergio Leone,157,Rod Steiger,Based-on-Comics  •  Crime Drama  •  Crime Thriller,7.6
"Duck, You Sucker",1971,Sergio Leone,157,James Coburn,Based-on-Comics  •  Crime Drama  •  Crime Thriller,7.6
"Duck, You Sucker",1971,Sergio Leone,157,Romolo Valli,Based-on-Comics  •  Crime Drama  •  Crime Thriller,7.6
Fiddler on the Roof,1971,Norman Jewison,181,Topol,Action  •  Action Thriller  •  Adventure,8
Fiddler on the Roof,1971,Norman Jewison,181,Norma Crane,Action  •  Action Thriller  •  Adventure,8
